Quarter,Current and cash credit Deposits,Savings Deposits,Special Notice Deposit (Short Term Deposits),Fixed Deposit,Deposit Pension Scheme,Convertible Taka Account,Foreign Currency Account,Wage Earners' Deposits,Resident Foreign Currency Deposits (RFCD),Others Deposits,Total Deposits Amount,Year,Q
"2018, Q-1",76909.0,199579.0,94243.0,464863.0,78375.0,1205.0,6424.0,3446.0,12105.0,54991.0,992140.0,2018,Q-1
"2018, Q-2",87711.0,204358.0,109994.0,471384.0,80430.0,1253.0,6398.0,3526.0,9403.0,62185.0,1036641.0,2018,Q-2
"2018, Q-3",81723.0,208139.0,103618.0,489664.0,81719.0,1439.0,6947.0,3536.0,9770.0,53484.0,1040039.0,2018,Q-3
"2018, Q-4",88467.0,215574.0,109480.0,501341.0,85139.0,1410.0,7400.0,3493.0,11440.0,57799.0,1081542.0,2018,Q-4
"2019, Q-1",84944.0,217376.0,107227.0,509644.0,86387.0,1049.0,8133.0,3698.0,11936.0,58079.0,1088473.0,2019,Q-1
"2019, Q-2",93084.0,228539.0,111914.0,526071.0,89572.0,1355.0,7651.0,3778.0,12075.0,65794.0,1139832.0,2019,Q-2
"2019, Q-3",88452.0,234029.0,104181.0,558158.0,92032.0,1056.0,5124.0,3591.0,15760.0,56908.0,1159289.0,2019,Q-3
"2019, Q-4",100766.0,242348.0,113329.0,577104.0,96885.0,1233.0,4783.0,3823.0,16330.0,57854.0,1214455.0,2019,Q-4
"2020, Q-1",97505.0,244249.0,107527.0,579569.0,97718.0,1446.0,5010.0,3869.0,16701.0,56905.0,1210498.0,2020,Q-1
"2020, Q-2",108081.0,265952.0,131124.0,565625.0,98708.0,3089.0,5348.0,4376.0,15189.0,66674.0,1264167.0,2020,Q-2
"2020, Q-3",104156.0,279612.0,127145.0,603409.0,102208.0,1217.0,5229.0,2786.0,17256.0,69612.0,1312630.0,2020,Q-3
"2020, Q-4",119590.0,292271.0,143076.0,619887.0,106501.0,1547.0,4796.0,4772.0,17407.0,69304.0,1379150.0,2020,Q-4
"2021, Q-1",115364.0,296882.0,146147.0,623938.0,107723.0,1730.0,5148.0,4545.0,19210.0,63638.0,1384325.0,2021,Q-1
"2021, Q-2",131287.0,310943.0,146985.0,640843.0,109735.0,1318.0,4837.0,1803.0,19483.0,72529.0,1439763.0,2021,Q-2
"2021, Q-3",126145.0,328679.0,146501.0,660299.0,107168.0,1485.0,5797.0,2213.0,17521.0,67080.0,1462888.0,2021,Q-3
"2021, Q-4",137295.0,338942.0,146562.0,674807.0,113202.0,2120.0,5932.0,2717.0,18039.0,72856.0,1512473.0,2021,Q-4
"2022, Q-1",130393.0,342209.0,148585.0,682921.0,110456.0,1895.0,4174.0,3186.0,19830.0,71248.0,1514895.0,2022,Q-1
"2022, Q-2",146133.0,359223.0,144618.0,684624.0,116021.0,2378.0,5267.0,2374.0,21250.0,91935.0,1573823.0,2022,Q-2
"2022, Q-3",137368.0,369260.0,144040.0,692571.0,112641.0,2524.0,5811.0,3215.0,20369.0,88572.0,1576371.0,2022,Q-3
"2022, Q-4",144608.0,353912.0,152045.0,691431.0,110508.0,2414.0,6816.0,3281.0,21771.0,101225.0,1588011.0,2022,Q-4
"2023, Q-1",145858.0,352993.0,160937.0,704160.0,111842.0,2304.0,5987.0,3381.0,23143.0,102457.0,1613063.0,2023,Q-1
"2023, Q-2",156877.0,365272.0,170292.0,726612.0,115428.0,2347.0,5082.0,2772.0,25773.0,116570.0,1687025.0,2023,Q-2
"2023, Q-3",148746.0,373295.0,167006.0,758043.0,115211.0,2354.0,5546.0,3530.0,27273.0,112131.0,1713135.0,2023,Q-3
"2023, Q-4",155749.0,374919.0,161214.0,776970.0,117188.0,2354.0,7423.0,3084.0,24588.0,125645.0,1749132.0,2023,Q-4
"2024, Q-1*",155721.0,372872.0,166616.0,791836.0,116628.0,1804.0,6054.0,3477.0,26130.0,121164.0,1762303.0,2024,Q-1
