Table-15: Deposits Amount Distributed by Types of Account,,,,,,,,,,,
,,,,,,,,,  (Amount in Crore Tk),,
Quarterly,Current and cash credit Deposits,Savings Deposits,Special Notice Deposit (Short Term Deposits),Fixed Deposit,Deposit Pension Scheme,Convertible Taka Account,Foreign Currency Account,Wage Earners' Deposits,Resident Foreign Currency Deposits (RFCD),Others Deposits,Total Deposits Amount
"2018, Q-1",76909,199579,94243,464863,78375,1205,6424,3446,12105,54991,992140
"2018, Q-2",87711,204358,109994,471384,80430,1253,6398,3526,9403,62185,1036641
"2018, Q-3",81723,208139,103618,489664,81719,1439,6947,3536,9770,53484,1040039
"2018, Q-4",88467,215574,109480,501341,85139,1410,7400,3493,11440,57799,1081542
"2019, Q-1",84944,217376,107227,509644,86387,1049,8133,3698,11936,58079,1088473
"2019, Q-2",93084,228539,111914,526071,89572,1355,7651,3778,12075,65794,1139832
"2019, Q-3",88452,234029,104181,558158,92032,1056,5124,3591,15760,56908,1159289
"2019, Q-4",100766,242348,113329,577104,96885,1233,4783,3823,16330,57854,1214455
"2020, Q-1",97505,244249,107527,579569,97718,1446,5010,3869,16701,56905,1210498
"2020, Q-2",108081,265952,131124,565625,98708,3089,5348,4376,15189,66674,1264167
"2020, Q-3",104156,279612,127145,603409,102208,1217,5229,2786,17256,69612,1312630
"2020, Q-4",119590,292271,143076,619887,106501,1547,4796,4772,17407,69304,1379150
"2021, Q-1",115364,296882,146147,623938,107723,1730,5148,4545,19210,63638,1384325
"2021, Q-2",131287,310943,146985,640843,109735,1318,4837,1803,19483,72529,1439763
"2021, Q-3",126145,328679,146501,660299,107168,1485,5797,2213,17521,67080,1462888
"2021, Q-4",137295,338942,146562,674807,113202,2120,5932,2717,18039,72856,1512473
"2022, Q-1",130393,342209,148585,682921,110456,1895,4174,3186,19830,71248,1514895
"2022, Q-2",146133,359223,144618,684624,116021,2378,5267,2374,21250,91935,1573823
"2022, Q-3",137368,369260,144040,692571,112641,2524,5811,3215,20369,88572,1576371
"2022, Q-4",144608,353912,152045,691431,110508,2414,6816,3281,21771,101225,1588011
"2023, Q-1",145858,352993,160937,704160,111842,2304,5987,3381,23143,102457,1613063
"2023, Q-2",156877,365272,170292,726612,115428,2347,5082,2772,25773,116570,1687025
"2023, Q-3",148746,373295,167006,758043,115211,2354,5546,3530,27273,112131,1713135
"2023, Q-4",155749,374919,161214,776970,117188,2354,7423,3084,24588,125645,1749132
"2024, Q-1*",155721,372872,166616,791836,116628,1804,6054,3477,26130,121164,1762303
,,,,,,,,,,,
Note: *= Provisional,,,,,,,,,,,
"Source: Statistics Department, Bangladesh Bank.",,,,,,,,,,,
